PostalCode,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.80706295,-79.1937691
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7689144,-79.1982293
M1G,Scarborough,Woburn,43.7598243,-79.2252908
M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244258802
M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7088231,-79.2876217
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138
M1N,Scarborough,"Birch Cliff, Cliffside West",43.7014875,-79.2563352
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067
M1R,Scarborough,"Wexford, Maryvale",43.752213749999996,-79.30247259999999
M1S,Scarborough,Agincourt,43.7853531,-79.2785494
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235
M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
M2H,North York,Hillcrest Village,43.6816953,-79.4257118
M2J,North York,"Fairview, Henry Farm, Oriole",43.7695089,-79.354296
M2K,North York,Bayview Village,43.7691966,-79.3766617
M2L,North York,"York Mills, Silver Hills",43.75263075,-79.3875194
M2M,North York,"Willowdale, Newtonbrook",43.77874775,-79.4120065
M2N,North York,"Willowdale, Willowdale East",43.7615095,-79.4109234
M2P,North York,York Mills West,43.7440391,-79.406657
M2R,North York,"Willowdale, Willowdale West",43.7615095,-79.4109234
M3A,North York,Parkwoods,43.7611243,-79.3240594
M3B,North York,Don Mills,43.775347,-79.3459439
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7405195,-79.4400172
M3J,North York,"Northwood Park, York University",43.7642338,-79.50237527008258
M3K,North York,Downsview,43.7492988,-79.462248
M4A,North York,Victoria Village,43.732658,-79.3111892
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7091881,-79.3122373
M4C,East York,Woodbine Heights,43.69992,-79.319279
M4E,East Toronto,The Beaches,43.6710244,-79.296712
M4G,East York,Leaside,43.7047983,-79.3680904
M4H,East York,Thorncliffe Park,43.704553,-79.3454074
M4J,East York,"East Toronto, Broadview North (Old East York)",43.65502185,-79.3759886
M4K,East Toronto,"The Danforth West, Riverdale",43.67595185,-79.32647455
