Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Malvern, Rouge",43.80706295,-79.1937691,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Port Union Village Common Park,43.776261105377195,-79.13504719734192,Park
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,The Beer Store,43.7801382146417,-79.1375684738159,Beer Store
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,KFC,43.77956886469414,-79.1387566924095,Fast Food Restaurant
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Pizza Pizza,43.77976252174732,-79.13746654987335,Pizza Place
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Mr. Beans Coffee Co.,43.77964590396574,-79.13788497447968,Coffee Shop
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Subway,43.77990692305362,-79.13870693744263,Sandwich Place
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Pet Valu,43.78004525991854,-79.1379064321518,Pet Store
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Sue-Gar Variety & Gift Centre,43.77998867608077,-79.13824707269669,Convenience Store
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Azumi Teppanyaki and Sushi,43.77990970068823,-79.13846433162689,Japanese Restaurant
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,LCBO,43.7796986149891,-79.1388076543808,Liquor Store
"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1349765,Rouge Hill GO Station,43.78022909334776,-79.13085475603155,Train Station
"Guildwood, Morningside, West Hill",43.7689144,-79.1982293,West Hill,43.76987778897034,-79.19233963724734,Hot Spring
Woburn,43.7598243,-79.2252908,Shoppers Drug Mart,43.759825,-79.225268,Pharmacy
Woburn,43.7598243,-79.2252908,GoodLife Fitness Scarborough Cedarbrae Mall,43.759389,-79.226409,Gym
Woburn,43.7598243,-79.2252908,Pho Dau Bo,43.7612856747122,-79.22516959510128,Vietnamese Restaurant
Woburn,43.7598243,-79.2252908,Staples Cedarbrae,43.75985062378836,-79.22833463006761,Paper / Office Supplies Store
Woburn,43.7598243,-79.2252908,Pizza Pizza,43.75932071091761,-79.22492870220871,Pizza Place
Woburn,43.7598243,-79.2252908,A&W,43.761066,-79.22529,Fast Food Restaurant
Woburn,43.7598243,-79.2252908,The Beer Store,43.7597137,-79.225487,Beer Store
Woburn,43.7598243,-79.2252908,TD Canada Trust,43.761520179662746,-79.22655679285526,Bank
Woburn,43.7598243,-79.2252908,Subway,43.75930749288571,-79.22405711589761,Sandwich Place
Woburn,43.7598243,-79.2252908,Dollarama,43.760947,-79.224015,Discount Store
Woburn,43.7598243,-79.2252908,Winners,43.7580795,-79.2275447,Department Store
Woburn,43.7598243,-79.2252908,Tim Hortons,43.7578133126944,-79.22844171524048,Coffee Shop
Woburn,43.7598243,-79.2252908,KFC,43.7588,-79.2273,Fast Food Restaurant
Woburn,43.7598243,-79.2252908,"Toys""R""Us",43.758088385161216,-79.22728700124864,Toy / Game Store
Woburn,43.7598243,-79.2252908,Walmart,43.75824507972237,-79.22906638024047,Big Box Store
Woburn,43.7598243,-79.2252908,Burger King,43.7593824,-79.2256073,Fast Food Restaurant
Woburn,43.7598243,-79.2252908,Tim Hortons,43.7600348,-79.2265074,Coffee Shop
Woburn,43.7598243,-79.2252908,Jian Hing Foodmart,43.760999220330746,-79.22670651497518,Supermarket
Woburn,43.7598243,-79.2252908,McDonald's,43.757214,-79.229246,Fast Food Restaurant
Woburn,43.7598243,-79.2252908,Dollarama,43.757824,-79.228572,Discount Store
Cedarbrae,43.75646655,-79.22669244258802,Shoppers Drug Mart,43.759825,-79.225268,Pharmacy
Cedarbrae,43.75646655,-79.22669244258802,GoodLife Fitness Scarborough Cedarbrae Mall,43.759389,-79.226409,Gym
Cedarbrae,43.75646655,-79.22669244258802,Staples Cedarbrae,43.75985062378836,-79.22833463006761,Paper / Office Supplies Store
Cedarbrae,43.75646655,-79.22669244258802,Tim Hortons,43.7578133126944,-79.22844171524048,Coffee Shop
Cedarbrae,43.75646655,-79.22669244258802,Winners,43.7580795,-79.2275447,Department Store
Cedarbrae,43.75646655,-79.22669244258802,Pizza Pizza,43.75932071091761,-79.22492870220871,Pizza Place
Cedarbrae,43.75646655,-79.22669244258802,"Toys""R""Us",43.758088385161216,-79.22728700124864,Toy / Game Store
Cedarbrae,43.75646655,-79.22669244258802,The Beer Store,43.7597137,-79.225487,Beer Store
Cedarbrae,43.75646655,-79.22669244258802,Subway,43.75930749288571,-79.22405711589761,Sandwich Place
Cedarbrae,43.75646655,-79.22669244258802,Walmart,43.75824507972237,-79.22906638024047,Big Box Store
Cedarbrae,43.75646655,-79.22669244258802,KFC,43.7588,-79.2273,Fast Food Restaurant
Cedarbrae,43.75646655,-79.22669244258802,McDonald's,43.757214,-79.229246,Fast Food Restaurant
Cedarbrae,43.75646655,-79.22669244258802,Dave's No Frills,43.757374,-79.231263,Grocery Store
Cedarbrae,43.75646655,-79.22669244258802,Burger King,43.7593824,-79.2256073,Fast Food Restaurant
Cedarbrae,43.75646655,-79.22669244258802,Dollarama,43.757824,-79.228572,Discount Store
Cedarbrae,43.75646655,-79.22669244258802,Tim Hortons,43.7600348,-79.2265074,Coffee Shop
Cedarbrae,43.75646655,-79.22669244258802,Cedarbrook Park,43.75367717164613,-79.22742364776057,Park
Cedarbrae,43.75646655,-79.22669244258802,LCBO,43.7579053024989,-79.23247906802133,Liquor Store
Cedarbrae,43.75646655,-79.22669244258802,EB Games,43.75953377583207,-79.22846760432567,Video Game Store
Cedarbrae,43.75646655,-79.22669244258802,JYSK | Bed Bath Home,43.7573743,-79.231263,Furniture / Home Store
Cedarbrae,43.75646655,-79.22669244258802,Hakim Optical,43.75954012,-79.22896401,Optical Shop
Cedarbrae,43.75646655,-79.22669244258802,Mark's,43.75997102995819,-79.2278091742847,Clothing Store
Cedarbrae,43.75646655,-79.22669244258802,Smiling Jack's Bar,43.76019179240469,-79.22685820591207,Bar
Cedarbrae,43.75646655,-79.22669244258802,Cedarbrae Mall,43.7581295021944,-79.22882255075686,Shopping Mall
Scarborough Village,43.7437422,-79.2116324,The Olde Stone Cottage Pub,43.74691186455061,-79.20902792003808,Pub
Scarborough Village,43.7437422,-79.2116324,GoodLife Fitness Scarborough Kingston and Eglinton,43.741417,-79.215242,Gym
Scarborough Village,43.7437422,-79.2116324,McDonald's,43.743260826143874,-79.21506393214176,Fast Food Restaurant
Scarborough Village,43.7437422,-79.2116324,Metro,43.743007759408705,-79.21669661999147,Supermarket
Scarborough Village,43.7437422,-79.2116324,Tim Hortons,43.74418107087957,-79.21598687767982,Coffee Shop
Scarborough Village,43.7437422,-79.2116324,Metro Pharmacy,43.742951088631926,-79.21676599653438,Pharmacy
Scarborough Village,43.7437422,-79.2116324,Markington Square,43.74270175812357,-79.21371944893411,Shopping Mall
Scarborough Village,43.7437422,-79.2116324,Phoenix Pan Asian Cuisine,43.74613,-79.209647,Chinese Restaurant
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,TTC Bus #17 Birchmount,43.72322678173275,-79.27509069442749,Bus Line
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Dollarama,43.72659620252377,-79.26682995710473,Discount Store
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Barcode,43.72323453532274,-79.27603483200073,Chinese Restaurant
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Eagle Beaver Sports,43.726646,-79.276625,Sporting Goods Shop
"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.271109,Dollarama,43.727092,-79.265784,Discount Store
"Golden Mile, Clairlea, Oakridge",43.7088231,-79.2876217,Dairy Queen,43.71037770465013,-79.29070115089417,Ice Cream Shop
"Golden Mile, Clairlea, Oakridge",43.7088231,-79.2876217,St Clair Ave E & Pharmacy Ave,43.710194,-79.29087,Intersection
"Golden Mile, Clairlea, Oakridge",43.7088231,-79.2876217,Jumbo Hamburger,43.71071626330615,-79.2907994639117,Diner
"Golden Mile, Clairlea, Oakridge",43.7088231,-79.2876217,Becker's Milk & Variety,43.711719348452974,-79.29139852523804,Convenience Store
"Golden Mile, Clairlea, Oakridge",43.7088231,-79.2876217,Domino's Pizza,43.704880554394386,-79.28849865874372,Pizza Place
"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138,Dairy Queen,43.722757687671276,-79.23562467098236,Ice Cream Shop
"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138,Dairy Queen,43.7226367,-79.2354522,Ice Cream Shop
"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138,Pizza Pizza,43.722490904836995,-79.23527706203652,Pizza Place
"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138,Big Boy's Burgers,43.721751,-79.236301,Restaurant
"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138,Canadian Tire Auto Service Centre,43.720986,-79.238065,Auto Garage
"Cliffside, Cliffcrest, Scarborough Village West",43.7218363,-79.2362138,I.D.A. - St. Clair & Brimley Pharmacy,43.7212116,-79.2422538,Pharmacy
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,Rosetta McLain Gardens,43.69701861855136,-79.25573911728534,Park
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,Variety Village,43.69883533655271,-79.25795245225459,Gym
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,Highview Park,43.70132615647561,-79.25876179304484,Park
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,Days Inn,43.70150450926076,-79.25382890385508,Hotel
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,Variety Village Sunshine Pool,43.69881350657984,-79.25661563873291,Gym Pool
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,Vipei,43.70475277397929,-79.2521767496029,American Restaurant
"Birch Cliff, Cliffside West",43.7014875,-79.2563352,NAFB (North American Fish Breeders),43.70496,-79.25248,Pet Store
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Starbucks,43.752465,-79.276364,Coffee Shop
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,The Beer Store,43.7506033,-79.2768014,Beer Store
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,KFC,43.752966,-79.276152,Fast Food Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Kennedy Bowlerama,43.750512149749966,-79.27704001209094,Bowling Alley
